"Date","Tweet","ReplyTo","RT","Likes","RTs"
"2019-10-23 15:56Z","Se liga! Se cuida! 🙌🏼 https://t.co/KLkSSzD0FT ","",NA,10,2
"2019-10-23 13:38Z","👫👭👬A abertura da SIA foi top, né? Confira todos os detalhes: https://t.co/Y4Sfk2IU68 https://t.co/5cHUoPUNNG ","",NA,2,0
"2019-10-21 12:27Z","💼🤓Dias 4 e 5, vai rolar o Dia P! Evento da Patamar Consultoria, Empresa Júnior do curso de Administração Pública da UNIRIO. O tema será Inovação no mercado de trabalho e o objetivo é promover um mergulho no universo mundo empresarial atual. Inscreva-se: https://t.co/b6j5xvHvh3 https://t.co/iZNO630DXv ","",NA,0,0
"2019-10-21 11:50Z","@brnvnc Vem cmg! 👯‍♀️ ","@brnvnc",NA,1,0
"2019-10-21 11:49Z","https://t.co/mqTcuRTOl0 ","",NA,0,0
"2019-10-21 11:48Z","O Centro de Ciências Exatas e Tecnologia (CCET) irá realizar a primeira edição da Semana Integrada de Tecnologia, Ciência e Cultura (SINTEC) durante os próximos dias 21 a 25. https://t.co/LMmhHLU680 https://t.co/6MqOuS7wia ","",NA,2,0
"2019-10-21 11:35Z","@alexiapqsiim Vemmmmmmmmmmmmmmmmmmmmmmmmm ","@alexiapqsiim",NA,1,0
"2019-10-21 11:35Z","@airnto Para de show e vem papar e estudar! ","@aionrt",NA,4,1
"2019-10-21 11:06Z","🍴😋Se liga no cardápio do RU! Hoje tem estrogonofe e batata rústica, amanhã lasanha de berinjela com soja, quarta picadinho de carne ao molho madeira, quinta tem torta de cebola e sexta tem carne assada! Semana maravitop!!!!  🤰https://t.co/XEVZE3D68K https://t.co/lPVR0iYZOC ","",NA,25,2
"2019-10-18 16:51Z","💪💉Amanhã (19) é o dia D da campanha nacional de vacinação contra o sarampo. 🦠 Descubra o que é mito e o que é verdade quando o assunto é vacina: https://t.co/yDge7nt3rP https://t.co/FECPppTG5h ","",NA,5,2
"2019-10-18 16:39Z","💚 https://t.co/eCHqLNZI65 ","",NA,11,1
"2019-10-17 16:19Z","👫👭👬SIA tá vindo aí!!!! A cerimônia de abertura acontece segunda-feira agora (21) às 10h no Auditório Vera Janacópulos. https://t.co/yITFZSGMFS https://t.co/ivwVWzktLY ","",NA,14,3
